,BTC
2020-02-04,9197.02000000
2020-02-03,9292.24000000
2020-02-02,9331.51000000
2020-02-01,9384.61000000
2020-01-31,9352.89000000
2020-01-30,9513.21000000
2020-01-29,9301.53000000
2020-01-28,9374.21000000
2020-01-27,8907.57000000
2020-01-26,8615.00000000
2020-01-25,8340.58000000
2020-01-24,8439.00000000
2020-01-23,8404.52000000
2020-01-22,8682.36000000
2020-01-21,8736.03000000
2020-01-20,8642.35000000
2020-01-19,8701.70000000
2020-01-18,8915.96000000
2020-01-17,8913.28000000
2020-01-16,8720.01000000
2020-01-15,8821.41000000
2020-01-14,8810.01000000
2020-01-13,8110.34000000
2020-01-12,8184.98000000
2020-01-11,8020.01000000
2020-01-10,8197.02000000
2020-01-09,7817.76000000
2020-01-08,8055.98000000
2020-01-07,8145.28000000
2020-01-06,7758.00000000
2020-01-05,7358.75000000
2020-01-04,7354.11000000
2020-01-03,7344.96000000
2020-01-02,6965.71000000
2020-01-01,7200.85000000
2019-12-31,7195.23000000
2019-12-30,7246.00000000
2019-12-29,7388.24000000
2019-12-28,7316.14000000
2019-12-27,7254.74000000
2019-12-26,7202.00000000
2019-12-25,7204.63000000
2019-12-24,7255.77000000
2019-12-23,7317.09000000
2019-12-22,7501.44000000
2019-12-21,7132.75000000
2019-12-20,7187.83000000
2019-12-19,7150.30000000
2019-12-18,7277.83000000
2019-12-17,6623.82000000
2019-12-16,6891.72000000
2019-12-15,7118.59000000
2019-12-14,7064.05000000
2019-12-13,7258.48000000
2019-12-12,7198.08000000
2019-12-11,7210.00000000
2019-12-10,7224.13000000
2019-12-09,7338.64000000
2019-12-08,7510.11000000
2019-12-07,7488.21000000
2019-12-06,7527.47000000
2019-12-05,7389.00000000
2019-12-04,7194.32000000
2019-12-03,7292.71000000
2019-12-02,7294.28000000
2019-12-01,7390.89000000
2019-11-30,7541.89000000
2019-11-29,7739.68000000
2019-11-28,7419.49000000
2019-11-27,7508.52000000
2019-11-26,7156.14000000
2019-11-25,7109.57000000
2019-11-24,6903.28000000
2019-11-23,7311.57000000
2019-11-22,7268.23000000
2019-11-21,7627.74000000
2019-11-20,8098.01000000
2019-11-19,8133.64000000
2019-11-18,8187.17000000
2019-11-17,8502.40000000
2019-11-16,8491.02000000
2019-11-15,8471.73000000
2019-11-14,8646.68000000
2019-11-13,8777.12000000
2019-11-12,8821.94000000
2019-11-11,8733.27000000
2019-11-10,9039.47000000
2019-11-09,8809.41000000
2019-11-08,8773.73000000
2019-11-07,9216.20000000
2019-11-06,9339.05000000
2019-11-05,9308.66000000
2019-11-04,9393.35000000
2019-11-03,9194.71000000
2019-11-02,9289.52000000
2019-11-01,9231.61000000
2019-10-31,9140.85000000
2019-10-30,9154.72000000
2019-10-29,9407.62000000
2019-10-28,9205.14000000
2019-10-27,9529.93000000
2019-10-26,9230.00000000
2019-10-25,8655.02000000
2019-10-24,7412.41000000
2019-10-23,7466.62000000
2019-10-22,8020.00000000
2019-10-21,8197.27000000
2019-10-20,8223.35000000
2019-10-19,7948.01000000
2019-10-18,7947.01000000
2019-10-17,8070.58000000
2019-10-16,7991.74000000
2019-10-15,8159.29000000
2019-10-14,8348.20000000
2019-10-13,8275.01000000
2019-10-12,8300.09000000
2019-10-11,8258.50000000
2019-10-10,8558.03000000
2019-10-09,8560.74000000
2019-10-08,8168.39000000
2019-10-07,8190.09000000
2019-10-06,7854.25000000
2019-10-05,8126.19000000
2019-10-04,8137.13000000
2019-10-03,8223.96000000
2019-10-02,8359.94000000
2019-10-01,8292.44000000
2019-09-30,8289.34000000
2019-09-29,8043.82000000
2019-09-28,8198.81000000
2019-09-27,8177.91000000
2019-09-26,8063.73000000
2019-09-25,8430.05000000
2019-09-24,8493.14000000
2019-09-23,9702.25000000
2019-09-22,10028.87000000
2019-09-21,9986.39000000
2019-09-20,10168.59000000
2019-09-19,10244.29000000
2019-09-18,10156.99000000
2019-09-17,10187.82000000
2019-09-16,10251.31000000
2019-09-15,10302.01000000
2019-09-14,10335.02000000
2019-09-13,10342.06000000
2019-09-12,10415.01000000
2019-09-11,10158.33000000
2019-09-10,10098.15000000
2019-09-09,10303.12000000
2019-09-08,10381.18000000
2019-09-07,10455.88000000
2019-09-06,10298.73000000
2019-09-05,10564.49000000
2019-09-04,10567.02000000
2019-09-03,10615.28000000
2019-09-02,10340.00000000
2019-09-01,9724.98000000
2019-08-31,9587.47000000
2019-08-30,9584.54000000
2019-08-29,9498.44000000
2019-08-28,9721.00000000
2019-08-27,10185.05000000
2019-08-26,10372.25000000
2019-08-25,10142.69000000
2019-08-24,10134.35000000
2019-08-23,10389.55000000
2019-08-22,10099.88000000
2019-08-21,10142.57000000
2019-08-20,10760.51000000
2019-08-19,10915.54000000
2019-08-18,10306.78000000
2019-08-17,10216.02000000
2019-08-16,10331.54000000
2019-08-15,10293.93000000
2019-08-14,10050.37000000
2019-08-13,10892.71000000
2019-08-12,11396.08000000
2019-08-11,11549.97000000
2019-08-10,11309.31000000
2019-08-09,11879.99000000
2019-08-08,11999.77000000
2019-08-07,11975.03000000
2019-08-06,11481.69000000
2019-08-05,11828.80000000
2019-08-04,10929.23000000
2019-08-03,10816.86000000
2019-08-02,10523.75000000
2019-08-01,10374.99000000
2019-07-31,10080.53000000
2019-07-30,9574.21000000
2019-07-29,9507.64000000
2019-07-28,9541.54000000
2019-07-27,9476.52000000
2019-07-26,9824.00000000
2019-07-25,9879.87000000
2019-07-24,9763.28000000
2019-07-23,9864.91000000
2019-07-22,10340.31000000
2019-07-21,10589.45000000
2019-07-20,10740.23000000
2019-07-19,10504.29000000
2019-07-18,10627.16000000
2019-07-17,9667.92000000
2019-07-16,9439.59000000
2019-07-15,10838.72000000
2019-07-14,10174.18000000
2019-07-13,11355.76000000
2019-07-12,11757.22000000
2019-07-11,11342.89000000
2019-07-10,12108.37000000
2019-07-09,12543.41000000
2019-07-08,12238.60000000
2019-07-07,11406.24000000
2019-07-06,11256.49000000
2019-07-05,10970.73000000
2019-07-04,11145.67000000
2019-07-03,11940.00000000
2019-07-02,10842.85000000
2019-07-01,10624.93000000
2019-06-30,10854.10000000
2019-06-29,11903.13000000
2019-06-28,12400.63000000
2019-06-27,11329.99000000
2019-06-26,13093.80000000
2019-06-25,11820.86000000
2019-06-24,11056.59000000
2019-06-23,10906.07000000
2019-06-22,10729.50000000
2019-06-21,10159.86000000
2019-06-20,9517.12000000
2019-06-19,9255.49000000
2019-06-18,9081.55000000
2019-06-17,9313.96000000
2019-06-16,8953.33000000
2019-06-15,8808.70000000
2019-06-14,8650.00000000
2019-06-13,8218.54000000
2019-06-12,8127.64000000
2019-06-11,7884.90000000
2019-06-10,7982.75000000
2019-06-09,7628.13000000
2019-06-08,7893.62000000
2019-06-07,7980.53000000
2019-06-06,7786.70000000
2019-06-05,7776.50000000
2019-06-04,7687.03000000
2019-06-03,8115.82000000
2019-06-02,8725.98000000
2019-06-01,8544.07000000
2019-05-31,8555.00000000
2019-05-30,8269.54000000
2019-05-29,8645.68000000
2019-05-28,8715.64000000
2019-05-27,8756.32000000
2019-05-26,8614.43000000
2019-05-25,8025.41000000
2019-05-24,7964.87000000
2019-05-23,7851.51000000
2019-05-22,7628.43000000
2019-05-21,7904.87000000
2019-05-20,7938.15000000
2019-05-19,8148.48000000
2019-05-18,7257.45000000
2019-05-17,7355.26000000
2019-05-16,7866.59000000
2019-05-15,8169.87000000
2019-05-14,7947.56000000
2019-05-13,7790.71000000
2019-05-12,6967.31000000
2019-05-11,7076.22000000
2019-05-10,6373.33000000
2019-05-09,6209.18000000
2019-05-08,5987.29000000
2019-05-07,5846.34000000
2019-05-06,5747.79000000
2019-05-05,5775.62000000
2019-05-04,5829.45000000
2019-05-03,5772.69000000
2019-05-02,5492.87000000
2019-05-01,5383.20000000
2019-04-30,5320.81000000
2019-04-29,5238.14000000
2019-04-28,5307.52000000
2019-04-27,5295.69000000
2019-04-26,5314.10000000
2019-04-25,5219.90000000
2019-04-24,5415.00000000
2019-04-23,5493.31000000
2019-04-22,5357.14000000
2019-04-21,5256.14000000
2019-04-20,5291.73000000
2019-04-19,5258.68000000
2019-04-18,5258.44000000
2019-04-17,5202.82000000
2019-04-16,5173.72000000
2019-04-15,5024.95000000
2019-04-14,5131.30000000
2019-04-13,5045.22000000
2019-04-12,5048.01000000
2019-04-11,5017.37000000
2019-04-10,5308.25000000
2019-04-09,5150.00000000
2019-04-08,5236.90000000
2019-04-07,5170.27000000
2019-04-06,5043.89000000
2019-04-05,5004.95000000
2019-04-04,4898.66000000
2019-04-03,4932.60000000
2019-04-02,4857.29000000
2019-04-01,4144.56000000
2019-03-31,4103.95000000
2019-03-30,4106.97000000
2019-03-29,4103.25000000
2019-03-28,4027.81000000
2019-03-27,4038.05000000
2019-03-26,3948.55000000
2019-03-25,3936.12000000
2019-03-24,3992.18000000
2019-03-23,4006.01000000
2019-03-22,3986.93000000
2019-03-21,3980.64000000
2019-03-20,4043.04000000
2019-03-19,4015.53000000
2019-03-18,3987.81000000
2019-03-17,3981.14000000
2019-03-16,4005.98000000
2019-03-15,3923.76000000
2019-03-14,3877.12000000
2019-03-13,3866.00000000
2019-03-12,3882.73000000
2019-03-11,3871.61000000
2019-03-10,3916.82000000
2019-03-09,3943.04000000
2019-03-08,3864.89000000
2019-03-07,3873.64000000
2019-03-06,3861.84000000
2019-03-05,3857.73000000
2019-03-04,3715.30000000
2019-03-03,3807.75000000
2019-03-02,3819.93000000
2019-03-01,3823.00000000
2019-02-28,3813.69000000
2019-02-27,3818.07000000
2019-02-26,3809.23000000
2019-02-25,3827.92000000
2019-02-24,3743.56000000
2019-02-23,4117.76000000
2019-02-22,3962.00000000
2019-02-21,3937.31000000
2019-02-20,3969.74000000
2019-02-19,3907.79000000
2019-02-18,3898.60000000
2019-02-17,3667.58000000
2019-02-16,3618.41000000
2019-02-15,3602.47000000
2019-02-14,3590.56000000
2019-02-13,3609.40000000
2019-02-12,3631.46000000
2019-02-11,3631.05000000
2019-02-10,3680.06000000
2019-02-09,3665.18000000
2019-02-08,3659.04000000
2019-02-07,3398.40000000
2019-02-06,3405.37000000
2019-02-05,3471.59000000
2019-02-04,3463.22000000
2019-02-03,3458.11000000
2019-02-02,3504.77000000
2019-02-01,3462.07000000
2019-01-31,3434.10000000
2019-01-30,3458.18000000
2019-01-29,3411.04000000
2019-01-28,3434.15000000
2019-01-27,3550.84000000
2019-01-26,3565.25000000
2019-01-25,3565.29000000
2019-01-24,3569.62000000
2019-01-23,3552.82000000
2019-01-22,3570.93000000
2019-01-21,3526.90000000
2019-01-20,3539.28000000
2019-01-19,3665.30000000
2019-01-18,3594.87000000
2019-01-17,3616.21000000
2019-01-16,3591.84000000
2019-01-15,3553.06000000
2019-01-14,3626.09000000
2019-01-13,3476.81000000
2019-01-12,3583.13000000
2019-01-11,3601.31000000
2019-01-10,3585.88000000
2019-01-09,3966.65000000
2019-01-08,3955.13000000
2019-01-07,3975.45000000
2019-01-06,3987.60000000
2019-01-05,3770.96000000
2019-01-04,3792.01000000
2019-01-03,3766.78000000
2019-01-02,3858.56000000
2019-01-01,3797.14000000
2018-12-31,3702.90000000
2018-12-30,3801.91000000
2018-12-29,3695.32000000
2018-12-28,3839.26000000
2018-12-27,3567.91000000
2018-12-26,3777.74000000
2018-12-25,3745.79000000
2018-12-24,4008.01000000
2018-12-23,3929.71000000
2018-12-22,3948.91000000
2018-12-21,3838.66000000
2018-12-20,4049.62000000
2018-12-19,3662.22000000
2018-12-18,3652.98000000
2018-12-17,3509.08000000
2018-12-16,3228.67000000
2018-12-15,3211.72000000
2018-12-14,3224.17000000
2018-12-13,3302.06000000
2018-12-12,3445.00000000
2018-12-11,3380.39000000
2018-12-10,3432.88000000
2018-12-09,3545.37000000
2018-12-08,3410.93000000
2018-12-07,3403.55000000
2018-12-06,3508.75000000
2018-12-05,3769.84000000
2018-12-04,3951.64000000
2018-12-03,3884.01000000
2018-12-02,4161.01000000
2018-12-01,4190.02000000
2018-11-30,4041.32000000
2018-11-29,4295.84000000
2018-11-28,4264.85000000
2018-11-27,3875.21000000
2018-11-26,3862.20000000
2018-11-25,4085.78000000
2018-11-24,3932.44000000
2018-11-23,4420.61000000
2018-11-22,4370.00000000
2018-11-21,4661.07000000
2018-11-20,4558.86000000
2018-11-19,4910.03000000
2018-11-18,5662.00000000
2018-11-17,5628.29000000
2018-11-16,5655.94000000
2018-11-15,5753.40000000
2018-11-14,5922.41000000
2018-11-13,6457.66000000
2018-11-12,6453.07000000
2018-11-11,6449.81000000
2018-11-10,6433.05000000
2018-11-09,6419.99000000
2018-11-08,6479.84000000
2018-11-07,6578.46000000
2018-11-06,6519.11000000
2018-11-05,6468.99000000
2018-11-04,6485.85000000
2018-11-03,6387.09000000
2018-11-02,6433.98000000
2018-11-01,6410.00000000
2018-10-31,6371.93000000
2018-10-30,6330.87000000
2018-10-29,6344.50000000
2018-10-28,6489.93000000
2018-10-27,6505.60000000
2018-10-26,6538.63000000
2018-10-25,6528.09000000
2018-10-24,6565.50000000
2018-10-23,6553.51000000
2018-10-22,6581.20000000
2018-10-21,6590.11000000
2018-10-20,6588.40000000
2018-10-19,6528.88000000
2018-10-18,6618.96000000
2018-10-17,6740.89000000
2018-10-16,6759.27000000
2018-10-15,6752.50000000
2018-10-14,6339.34000000
2018-10-13,6332.93000000
2018-10-12,6298.01000000
2018-10-11,6252.68000000
2018-10-10,6631.00000000
2018-10-09,6656.61000000
2018-10-08,6673.01000000
2018-10-07,6615.26000000
2018-10-06,6594.27000000
2018-10-05,6635.65000000
2018-10-04,6593.79000000
2018-10-03,6510.00000000
2018-10-02,6525.79000000
2018-10-01,6611.61000000
2018-09-30,6626.57000000
2018-09-29,6596.38000000
2018-09-28,6634.58000000
2018-09-27,6689.13000000
2018-09-26,6465.12000000
2018-09-25,6447.54000000
2018-09-24,6581.39000000
2018-09-23,6708.00000000
2018-09-22,6723.05000000
2018-09-21,6759.02000000
2018-09-20,6492.00000000
2018-09-19,6391.89000000
2018-09-18,6336.45000000
2018-09-17,6248.69000000
